{'question': 'Tại sao bạn tạo ra chatbot này?', 'intent': 'creation_reason'}
{'question': 'Lợi ích nổi bật của chatbot của bạn là gì?', 'intent': 'advantages'}
{'question': 'Các đối thủ khác có những hạn chế gì so với chatbot của bạn?', 'intent': 'competitive_advantage'}
{'question': 'Điều gì làm cho chatbot của bạn đặc biệt?', 'intent': 'unique_features'}
{'question': 'Lý do mà tôi nên chọn chatbot của bạn thay vì các lựa chọn khác là gì?', 'intent': 'value_proposition'}
{'question': 'Có những ưu điểm gì khi sử dụng chatbot của bạn so với các giải pháp khác?', 'intent': 'differentiators'}
{'question': 'Liệu chatbot của bạn có khả năng tương tác tốt với người dùng không?', 'intent': 'interaction_quality'}
{'question': 'Có những tính năng độc đáo nào mà chatbot của bạn có thể cung cấp?', 'intent': 'unique_capabilities'}
{'question': 'Làm thế nào chatbot của bạn có thể giúp tôi giải quyết vấn đề của mình?', 'intent': 'problem_solving'}
{'question': 'Chatbot này có phải là ChatGPT không?', 'intent': 'identity_confirmation'}
{'question': 'Nguồn gốc của bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Bạn có phải là chatgpt không?', 'intent': 'identity'}
{'question': 'Tôi muốn biết về ưu điểm của chatbot của bạn so với các đối thủ khác.', 'intent': 'advantages'}
{'question': 'Có những lợi ích nổi bật nào khi sử dụng chatbot của bạn?', 'intent': 'benefits'}
{'question': 'Tôi muốn hiểu về lý do tạo ra chatbot này.', 'intent': 'creation_reason'}
{'question': 'Có gì đặc biệt về chatbot của bạn so với các giải pháp khác?', 'intent': 'distinctive_features'}
{'question': 'Chatbot của bạn có những ưu điểm gì mà tôi nên biết?', 'intent': 'key_advantages'}
{'question': 'Tôi có thể sử dụng chatbot để làm gì?', 'intent': 'usage'}
{'question': 'Có những tính năng gì đặc biệt trong chatbot của bạn?', 'intent': 'features'}
{'question': 'Chatbot này có đội ngũ phát triển chuyên nghiệp không?', 'intent': 'development_team'}
{'question': 'Làm thế nào chatbot của bạn được tạo ra?', 'intent': 'creation_process'}
{'question': 'Tôi có thể tin tưởng vào độ chính xác của thông tin mà chatbot cung cấp không?', 'intent': 'accuracy'}
{'question': 'Có những ứng dụng cụ thể nào mà chatbot của bạn hỗ trợ tốt nhất?', 'intent': 'specific_applications'}
{'question': 'Chatbot của bạn được tạo ra với mục đích gì?', 'intent': 'creation_reason'}
{'question': 'Tại sao lại có sự xuất hiện của chatbot này?', 'intent': 'creation_reason'}
{'question': 'Bạn tạo ra chatbot với lý do gì?', 'intent': 'creation_reason'}
{'question': 'Làm thế nào chatbot của bạn khác biệt từ các giải pháp khác?', 'intent': 'unique_features'}
{'question': 'Có gì đặc biệt về cách chatbot của bạn tương tác với người dùng?', 'intent': 'interaction_specialties'}
{'question': 'Ưu điểm của bạn so với các đối thủ khác?', 'intent': 'advantage_in_comparison'}
{'question': 'Bạn có những ưu điểm gì so với các đối thủ khác?', 'intent': 'advantages'}
{'question': 'Có những đối thủ nào mà chatbot của bạn vượt trội?', 'intent': 'competitor_advantages'}
{'question': 'Chatbot của bạn có những lợi ích nổi bật nào?', 'intent': 'prominent_benefits'}
